Rank	Ragione sociale	Partita IVA	P.IVA valida	Codice fiscale	CCIAA	N. REA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Regione	Capitale sociale (€)	ATECO	Attività (ATECO)	Settore	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES	Denominazione VIES	Indirizzo VIES	Fonte dati anagrafici	Fonte classifica
15	LEONARDO SOCIETA' PER AZIONI	00881841001	SI	00401990585	RM	7031	SOCIETA' PER AZIONI	Piazza Monte Grappa 4	00195	Roma	RM	Lazio	2543861738	30.3	FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI	Manifatturiero	20/02/1993	Attiva	10964527000	2024	33430	leonardo@pec.leonardo.com	SI	LEONARDO SOCIETA' PER AZIONI	PIAZZA MONTE GRAPPA 4 00195 ROMA RM	https://www.aziende.it/leonardo-societa-per-azioni	monitoraitalia.it
16	POSTE ITALIANE - SOCIETA' PER AZIONI	01114601006	SI	97103880585		842633	SOCIETA' PER AZIONI	Viale Europa 190	00144	Roma	RM	Lazio	1306110000	53.1	SERVIZI POSTALI E ATTIVITÀ DI CORRIERE	Trasporti	01/01/1997	Attivo	10503829500	2024			SI	POSTE ITALIANE SPA !!SPA	VIALE EUROPA 190 00144 ROMA RM	https://www.aziende.it/poste-italiane-societa-per-azioni	monitoraitalia.it
17	SARAS S.P.A.	00136440922	SI	00136440922		49540	SOCIETA' PER AZIONI		09018	SARROCH	CA	Sardegna	67784444	19201		Petrolchimica	24/05/1962	Attiva	9614379000	2024			NO			https://www.aziende.it/saras-s-p-a	monitoraitalia.it
18	TELECOM ITALIA S.P.A. O TIM S.P.A.	00488410010	SI	00488410010		1580695	SOCIETA' PER AZIONI	VIA GAETANO NEGRI 1	20123	MILANO	MI	Lombardia	6109291512	61		Telecomunicazioni	04/08/2003	Attiva	9218214400	2024			SI	TIM S.P.A.	VIA GAETANO NEGRI 1 20123 MILANO MI	https://www.aziende.it/telecom-italia-spa	monitoraitalia.it
19	ESSELUNGA S.P.A.	04916380159	SI	01255720169	MI	1063068	SOCIETA' PER AZIONI	Via Vittor Pisani 20	20124	Milano	MI	Lombardia	100000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	31/12/1980	Attiva	9112444400	2024	27548	esselunga@legalmail.it	SI	ESSELUNGA SPA	VIA VITTOR PISANI 20 20124 MILANO MI	https://www.aziende.it/esselunga-spa	monitoraitalia.it
20	A2A S.P.A.	11957540153	SI	11957540153	BS	493995	SOCIETA' PER AZIONI	Via Alessandro Lamarmora 230	25124	Brescia	BS	Lombardia	1629110744	35.15	Commercio di energia elettrica	Energia	22/10/1996	Attiva	8700014400	2024	2118	a2a@pec.a2a.eu	SI	A2A S.P.A.	VIA LAMARMORA 230 25124 BRESCIA BS	https://www.aziende.it/a2a-s-p-a	monitoraitalia.it
21	E-DISTRIBUZIONE S.P.A.	05779711000	SI	05779711000		922436	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA DOMENICO CIMAROSA 4	00198	ROMA	RM	Lazio	2600000000	3514		Energia	01/10/1999	Attiva	7990967800	2024			NO			https://www.aziende.it/e-distribuzione-s-p-a	monitoraitalia.it
22	VOLKSWAGEN GROUP ITALIA S.P.A.	01779120235	SI	07649360158		195899	SOCIETA' PER AZIONI	Viale Gerard Richard Gumpert 1	37137	Verona	VR	Veneto	46480500	46711		Manifatturiero	20/11/1985	Attiva	7699713100	2024			SI	VOLKSWAGEN GROUP ITALIA SOCIETA' PER AZIONI (OPPURE - IN FOR	VIALE GERARD RICHARD GUMPERT 1 37137 VERONA VR	https://www.aziende.it/volkswagen-group-italia-s-p-a	monitoraitalia.it
23	ENGIE ITALIA S.P.A.	06289781004	SI	06289781004	MI	1817090	SOCIETA' PER AZIONI	Via Chiese 72	20126	Milano	MI	Lombardia	47460583	71.12.1	Attività degli studi di ingegneria	Energia	26/09/2000	Attiva	7500614400	2024	667	engieitalia@legalmail.it	SI	ENGIE ITALIA SPA	VIA CHIESE 72 20126 MILANO MI	https://www.aziende.it/engie-italia-spa	monitoraitalia.it
24	ITALIANA PETROLI S.P.A.	00051570893	SI	00051570893	RM	740950	SOCIETA' PER AZIONI	Via Salaria 1322	00138	Roma	RM	Lazio	47665314	19.20.1	FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO	Petrolchimica	22/01/2015	Attiva	7367922100	2024	554	italianapetroli@pec.gruppoapi.com	SI	ITALIANA PETROLI S.P.A.	VIA SALARIA 1322 00138 ROMA RM	https://www.aziende.it/italiana-petroli-s-p-a	monitoraitalia.it
25	LIDL ITALIA S.R.L.	02275030233	SI	02275030233	VR	228845	Società a Responsabilità Limitata	Via Augusto Ruffo 36	37040	Arcole	VR	Veneto	40000000	46.9	Commercio all'ingrosso non specializzato	Commercio	20/07/1991	Attiva	7158326500	2024	22565	lidl_italia@legalmail.it	SI	LIDL ITALIA S.R.L. !!S.R.L.	VIA AUGUSTO RUFFO 36 37040 ARCOLE VR	https://www.aziende.it/lidl-italia-s-r-l	monitoraitalia.it
26	IVECO S.P.A.	09709770011	SI	09709770011	TO	1074767	Società per azioni	Via Puglia 35	10156	Torino	TO	Piemonte	200000000	29.1	Fabbricazione di autoveicoli, rimorchi e semirimorchi	Manifatturiero	01/12/2010	Attiva	7065385000	2024	7128	iveco@pec.ivecogroup.com	SI	IVECO SPA	VIA PUGLIA 35, 10156 TORINO TO	https://www.aziende.it/iveco-s-p-a	monitoraitalia.it
27	ENI PLENITUDE S.P.A. SOCIETA' BENEFIT	12300020158	SI	12300020158	MI	1544762	SOCIETA' PER AZIONI	Via Giovanni Lorenzini 4	20139	Milano	MI	Lombardia	855555556	35.23	Commercio di gas distribuito mediante condotte	Energia	01/03/2017	Attiva	7064842200	2024	1870	eniplenitudine@pec.eniplenitude.com	SI	ENI PLENITUDE SPA SOCIETA' BENEFIT	VIA GIOVANNI LORENZINI 4 20139 MILANO MI	https://www.aziende.it/eni-plenitude-s-p-a-societa-benefit	monitoraitalia.it
28	ISAB S.R.L.	01629050897	SI	01629050897	SR	136409	SOCIETA' A RESPONSABILITA' LIMITATA	Ex S S 114 Km 146	96010	Priolo Gargallo	SR	Sicilia	50000000	19.20.1	FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO	Petrolchimica	01/12/2008	Attiva	6856501000	2024	991	isab@pec.it	SI	ISAB S.R.L. !!S.R.L.	EX S S 114 KM 146, 96010 PRIOLO GARGALLO SR	https://www.aziende.it/isab-s-r-l	monitoraitalia.it
29	HERA TRADING S.R.L.	02060500390	SI	02060500390		133985	SR (Società a responsabilità limitata)	VIA DEL TEATRO 5	34121	TRIESTE	TS	Friuli-Venezia Giulia	22600000	3523		Energia	01/07/2004	Attiva	6720344200	2024			NO			https://www.ufficiocamerale.it/3019/hera-trading-srl	monitoraitalia.it
30	OMV SUPPLY & TRADING ITALIA S.R.L.	01319940324	SI	01319940324	TS	204004	SOCIETA' A RESPONSABILITA' LIMITATA	Via Cesare Beccaria 13	34133	Trieste	TS	Friuli-Venezia Giulia	22010000	46.81	Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati	Petrolchimica	27/12/2018	Attiva	6667869600	2024		omvsupplyetradingitaliasrl@legalmail.it	SI	OMV SUPPLY & TRADING ITALIA SRL	VIA CESARE BECCARIA 13 34133 TRIESTE TS	https://www.aziende.it/omv-supply-trading-italia-s-r-l	monitoraitalia.it
31	EDISON ENERGIA S.P.A.	08526440154	SI	08526440154	MI	1229342	SOCIETA' PER AZIONI	Foro Buonaparte 31	20121	Milano	MI	Lombardia	40000000	35.15	Commercio di energia elettrica	Energia	28/11/1990	Attiva	6389410200	2024	568	edisonenergia@pec.edison.it	SI	EDISON ENERGIA S.P.A.	FORO BUONAPARTE 31 20121 MILANO MI	https://www.aziende.it/edison-energia-s-p-a	monitoraitalia.it
32	FERRARI S.P.A.	00159560366	SI	00159560366	MO	88683	Società per azioni	Via Emilia Est 1163	41122	Modena	MO	Emilia-Romagna	20260000	29.1	Fabbricazione di autoveicoli	Manifatturiero	23/05/1960	Attiva	6284626800	2024	5186	ferrari@pec.ferrari.com	SI	FERRARI S.P.A.	VIA EMILIA EST 1163 41122 MODENA MO	https://www.aziende.it/ferrari-societa-per-azioni-esercizio-fabbrich	monitoraitalia.it
33	ENEL PRODUZIONE S.P.A.	05617841001	SI	05617841001		904803	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	Lazio	1800000000	3512		Energia	10/10/1999	Attiva	6279569600	2024			NO			https://www.ufficiocamerale.it/2588/enel-produzione-spa	monitoraitalia.it
34	CHIMET S.P.A.	00155440514	SI	00155440514	AR	61012	SOCIETA' PER AZIONI	Via Dei Laghi 31/33	52041	Civitella in Val di Chiana	AR	Toscana	50000000	24.4	PRODUZIONE DI METALLI DI BASE PREZIOSI E ALTRI METALLI NON FERROSI, TRATTAMENTO DEI COMBUSTIBILI NUCLEARI	Metallurgia	10/05/1976	Attiva	6056830200	2024	150	chimet@legalmail.it	SI	CHIMET S.P.A.	VIA DEI LAGHI 31/33 52041 CIVITELLA IN VAL DI CHIANA AR	https://www.aziende.it/chimet-s-p-a	monitoraitalia.it
35	TRENITALIA S.P.A.	05403151003	SI	05403151003	RM	883047	SOCIETA' PER AZIONI CON SOCIO UNICO	Piazza Della Croce Rossa 1	00161	Roma	RM	Lazio	1685363500	49.1	TRASPORTO FERROVIARIO DI PASSEGGERI (INTERURBANO)	Trasporti	02/05/2000	Attiva	5883736800	2024	24963	segreteriacdati@cert.trenitalia.it	SI	TRENITALIA S.P.A.	PIAZZA DELLA CROCE ROSSA 1 00161 ROMA RM	https://www.aziende.it/trenitalia-s-p-a	monitoraitalia.it
36	A2A ENERGIA S.P.A.	12883420155	SI	12883420155	MI	1592687	SOCIETA' PER AZIONI	Piazza Trento 7	20135	Milano	MI	Lombardia	3000000	35.15	Commercio di energia elettrica	Energia	08/11/1999	Attiva	5879432700	2024	789	a2a.energia@pec.a2a.eu	SI	A2A ENERGIA S.P.A.	PIAZZA TRENTO 7 20135 MILANO MI	https://www.aziende.it/a2a-energia-s-p-a	monitoraitalia.it
37	SAIPEM S.P.A.	00825790157	SI	00825790157	MI	788744	SOCIETA' PER AZIONI	Via Luigi Russolo 5	20138	Milano	MI	Lombardia	1001669790	09.1	ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE	Petrolchimica	05/06/1996	Attiva	5871918200	2024	6125	saipem@pec.saipem.com	SI	SAIPEM S.P.A.	VIA LUIGI RUSSOLO 5 20138 MILANO MI	https://www.aziende.it/saipem-s-p-a	monitoraitalia.it
38	SONATRACH RAFFINERIA ITALIANA S.R.L.	10410680960	SI	10410680960	MI	2529184	SOCIETA' A RESPONSABILITA' LIMITATA	Via Alessandro Manzoni 38	20121	Milano	MI	Lombardia	500000000	19.2	FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO	Petrolchimica	04/07/2018	Attiva	5852126500	2024	758	sonatrachitaliana@legalmail.it	SI	SONATRACH RAFFINERIA ITALIANA S.R.L.	VIA ALESSANDRO MANZONI 38 20121 MILANO MI	https://www.aziende.it/sonatrach-raffineria-italiana-s-r-l	monitoraitalia.it
39	HERA COMM S.P.A.	02221101203	SI	02221101203		421914	SOCIETA' PER AZIONI	VIA MOLINO ROSSO 8	40026	IMOLA	BO	Emilia-Romagna	53595898.95	3523		Energia	01/01/2002	Attiva	5845733800	2024			NO			https://www.ufficiocamerale.it/2222/hera-comm-spa	monitoraitalia.it
40	AUTOSTRADE PER L'ITALIA S.P.A.	07516911000	SI	07516911000	RM	1037417	SOCIETA' PER AZIONI	Via Alberto Bergamini 50	00159	Roma	RM	Lazio	622027000	52.21.2	Gestione di strade, ponti, gallerie	Trasporti	31/07/2003	Attiva	5453641200	2024	5153	autostradeperlitalia@pec.autostrade.it	SI	AUTOSTRADE PER L'ITALIA S.P.A.	VIA ALBERTO BERGAMINI 50 00159 ROMA RM	https://www.aziende.it/autostrade-per-l-italia-s-p-a	monitoraitalia.it
41	NUOVO PIGNONE INTERNATIONAL S.R.L.	04880930484	SI	04880930484		496890	SOCIETA' A RESPONSABILITA' LIMITATA	VIA FELICE MATTEUCCI 2	50127	FIRENZE	FI	Toscana	112004940.84	28292		Manifatturiero	01/07/1998	Attiva	5383064100	2024			NO			https://www.ufficiocamerale.it/7209/nuovo-pignone-international-srl	monitoraitalia.it
42	BANCO BPM SOCIETA' PER AZIONI	09722490969	SI	09722490969		2109611	SOCIETA' PER AZIONI	PIAZZA FILIPPO MEDA 4	20121	MILANO	MI	Lombardia	7100000000	64191		Finanza	01/01/2017	Attivo	5148977600	2024			NO			https://www.ufficiocamerale.it/8527/banco-bpm-societa-per-azioni	monitoraitalia.it
43	WEBUILD S.P.A.	02895590962	SI	00830660155	MI	525502	SOCIETA' PER AZIONI	Milanofiori Snc-strada 6 Palazzo L	20089	Rozzano	MI	Lombardia	600000000	42.12	Costruzione di linee ferroviarie e metropolitane	Costruzioni	24/01/1959	Attiva	5123434400	2024	1647	pec@pec.webuildgroup.com	SI	WEBUILD SPA	MILANOFIORI SNC-STRADA 6 PALAZZO L, 20089 ROZZANO MI	https://www.aziende.it/webuild-s-p-a	monitoraitalia.it
44	BANCA MEDIOLANUM S.P.A.	10698820155	SI	02124090164		1399110	SOCIETA' PER AZIONI	VIA ENNIO DORIS	20079	BASIGLIO	MI	Lombardia	600854390.5	64191		Finanza	08/07/1997	Attiva	5077063000	2024			NO			https://www.ufficiocamerale.it/3500/banca-mediolanum-spa	monitoraitalia.it
45	COSTA CROCIERE S.P.A.	02545900108	SI	02545900108	GE	279842	Società per Azioni	Piazza Piccapietra 48	16121	Genova	GE	Liguria	344310720	50.1	TRASPORTO MARITTIMO E COSTIERO DI PASSEGGERI	Trasporti	21/10/2004	Attiva	4699298500	2024	2918	costa.crociere@legalmail.it	SI	COSTA CROCIERE S.P.A.	PIAZZA PICCAPIETRA 48 16121 GENOVA GE	https://www.aziende.it/costa-crociere-s-p-a	monitoraitalia.it
46	BPER BANCA S.P.A.	03830780361	SI	01153230360		222528	SOCIETA' PER AZIONI	VIA SAN CARLO 8/20	41121	MODENA	MO	Emilia-Romagna	3136702715.3	64191		Finanza	01/01/1984	Attiva	4632800000	2024			SI	GRUPPO IVA BPER BANCA	VIA SAN CARLO 8/20 41121 MODENA MO	https://www.visura.pro/imprese/281782765-bper-banca-s-p-a.html	monitoraitalia.it
47	AXPO ITALIA S.P.A.	01141160992	SI	01141160992	BA	987225	SOCIETA' PER AZIONI	Via Quattro Novembre 149	00187	Roma	RM	Lazio	3000000	35.15	Commercio di energia elettrica	Energia	01/10/2000	Attiva	4500695800	2024	264	segreteria@pec.axpoitalia.biz	SI	AXPO ITALIA S.P.A.	VIA QUATTRO NOVEMBRE 149 00187 ROMA RM	https://www.aziende.it/axpo-italia-s-p-a	monitoraitalia.it
48	TECNIMONT S.P.A.	01628410159	SI	01628410159	MI	574643	SOCIETA' PER AZIONI	Via Gaetano De Castillia 6/a	20124	Milano	MI	Lombardia	1000000	71.12.1	Attività degli studi di ingegneria	Costruzioni	23/11/1960	Attiva	4474265100	2024	1924	tecnimont@pec.it	SI	TECNIMONT SPA	VIA GAETANO DE CASTILLIA 6/A 20124 MILANO MI	https://www.aziende.it/tecnimont-s-p-a	monitoraitalia.it
49	PIRELLI TYRE S.P.A.	07211330159	SI	07211330159	MI	1147607	Società per Azioni	Viale Piero E Alberto Pirelli N 25	20126	Milano	MI	Lombardia	558154000	22.11.1	Fabbricazione di pneumatici e di camere d'aria	Manifatturiero	01/03/1984	Attiva	4378938600	2024	1340	pirellityre.pecri@pec.pirelli.it	SI	PIRELLI TYRE SPA	VIALE PIERO E ALBERTO PIRELLI N 25 20126 MILANO MI	https://www.aziende.it/pirelli-tyre-spa	monitoraitalia.it
50	A.I.A. AGRICOLA ITALIANA ALIMENTARE S.P.A.	00233470236	SI	00233470236	VR	110039	SOCIETA' PER AZIONI	Piazzale Apollinare Veronesi 1	37036	San Martino Buon Albergo	VR	Veneto	5000000	46.32.11	Commercio all'ingrosso di carni fresche	Manifatturiero	22/05/1967	Attiva	4377589000	2024	714	aia@legalmail.it	SI	A.I.A. AGRICOLA ITALIANA ALIMENTARE S.P.A.	PIAZZALE APOLLINARE VERONESI 1 37036 SAN MARTINO BUON ALBERGO VR	https://www.aziende.it/a-i-a-agricola-italiana-alimentare-s-p-a	monitoraitalia.it
51	LUXOTTICA GROUP S.P.A.	10182640150	SI	00891030272	MI	1348098	SOCIETA' PER AZIONI	Piazzale Cadorna N 3	20123	Milano	MI	Lombardia	29111701	46.43.1	Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video	Manifatturiero	23/11/1981	Attiva	4357525000	2024	3742	luxotticamilano@legalmail.it	SI	LUXOTTICA GROUP SPA	PIAZZALE CADORNA N 3 20123 MILANO MI	https://www.aziende.it/luxottica-group-spa	monitoraitalia.it
52	GROUPE PSA ITALIA S.P.A.	00882090152	SI	00882090152	MI	779296	SOCIETA' PER AZIONI	Via Plava 80	10135	Torino	TO	Piemonte	4480000	46.71.1	Commercio all'ingrosso di automobili e autoveicoli leggeri	Manifatturiero	12/03/1969	Attiva	4344716300	2024	152	psaitalia@mpsacert.it	SI	GROUPE PSA ITALIA S.P.A.	VIA PLAVA 80 10135 TORINO TO	https://www.aziende.it/groupe-psa-italia-s-p-a	monitoraitalia.it
53	ASSICURAZIONI GENERALI SOCIETA' PER AZIONI	00079760328	SI	00079760328		6204	SOCIETA' PER AZIONI	PIAZZA LUIGI AMEDEO DUCA DEGLI ABRUZZI 2	34132	TRIESTE	TS	Friuli-Venezia Giulia	1602736602.13	6512		Finanza	26/12/1931	Attiva	4276175000	2024			NO			https://www.aziende.it/assicurazioni-generali-spa	monitoraitalia.it
54	LOGISTA ITALIA S.P.A.	06741351008	SI	06741351008	RM	986948	SOCIETA' PER AZIONI	Via Valadier 37	00193	Roma	RM	Lazio	15164000	46.35.09	Commercio all'ingrosso di prodotti del tabacco n.c.a.	Commercio	01/10/2001	Attiva	4273665800	2024	517	logistaitalia@pec.it	SI	LOGISTA ITALIA S.P.A.	VIA VALADIER 37 00193 ROMA RM	https://www.aziende.it/logista-italia-s-p-a	monitoraitalia.it
55	PAC 2000 A SOCIETA' COOPERATIVA	00163040546	SI	00163040546	PG	98419	SOCIETA' COOPERATIVA	Via Del Rame Snc	06134	Perugia	PG	Umbria	55540921	46.38.9	Commercio all'ingrosso di altri prodotti alimentari	Commercio	16/08/1972	Attiva	4209971700	2024			SI	PAC 2000 A SOCIETA' COOPERATIVA	VIA DEL RAME SNC 06134 PERUGIA PG	https://www.aziende.it/pac-2000-a-societa-cooperativa	monitoraitalia.it
56	ANAS S.P.A.	02133681003	SI	80208450587	RM	1024951	SOCIETA' PER AZIONI	Via Monzambano 10	00185	Roma	RM	Lazio	2269892000	52.21.2	Gestione di strade, ponti, gallerie	Trasporti	13/01/2003	Attiva	4182372500	2024	7774	anas@postacert.stradeanas.it	SI	ANAS S.P.A.	VIA MONZAMBANO 10 00185 ROMA RM	https://www.aziende.it/anas-societa-per-azioni	monitoraitalia.it
57	NUOVO PIGNONE S.R.L.	06176750484	SI	06176750484		606899	SOCIETÀ A RESPONSABILITÀ LIMITATA	VIA FELICE MATTEUCCI 2	50127	FIRENZE	FI	Toscana	100000000	28292		Manifatturiero	31/12/2011	Attiva	4128226800	2024			NO			https://www.aziende.it/nuovo-pignone-s-r-l	monitoraitalia.it
58	RENAULT ITALIA S.P.A.	05811161008	SI	00291240638	RM	273440	SOCIETA' PER AZIONI	Via Tiburtina 1159	00156	Roma	RM	Lazio	2582500	47.81.1	Commercio al dettaglio di automobili e autoveicoli leggeri	Manifatturiero	01/03/1962	Attiva	4054135700	2024	214	renault@pec.renault.it	SI	RENAULT ITALIA SPA	VIA TIBURTINA 1159 00156 ROMA RM	https://www.aziende.it/renault-italia-s-p-a	monitoraitalia.it
59	WIND TRE S.P.A.	13378520152	SI	02517580920	MI	1638878	SOCIETA' PER AZIONI	Via Monte Rosa 91	20149	Milano	MI	Lombardia	474303795	61.1	TELECOMUNICAZIONI FISSE	Telecomunicazioni	10/01/2001	Attiva	3988000000	2024	6489	windtrespa@pec.windtre.it	SI	WIND TRE S.P.A.	VIA MONTE ROSA 91 20149 MILANO MI	https://www.aziende.it/wind-tre-s-p-a	monitoraitalia.it
60	ITALPREZIOSI S.P.A.	01111420517	SI	01111420517	AR	83621	SOCIETA' PER AZIONI	Loc San Zeno Strada A 32	52100	Arezzo	AR	Toscana	25000000	24.41	Produzione di metalli preziosi	Metallurgia	09/06/1984	Attiva	3942513500	2024	96	italpreziosi@pcert.postecert.it	SI	ITALPREZIOSI SPA	LOC SAN ZENO STRADA A 32 52100 AREZZO AR	https://www.aziende.it/italpreziosi-s-p-a	monitoraitalia.it
