Rank	Ragione sociale	Partita IVA	P.IVA valida (checksum)	Codice fiscale	N. REA	CCIAA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Capitale sociale (€)	ATECO	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES valida	Denominazione VIES	Indirizzo VIES	Fonte anagrafica (URL)
13	POSTE ITALIANE - SOCIETA' PER AZIONI	01114601006	SI	97103880585	842633	RM	Società per Azioni	Viale Europa 190	00144	Roma	RM	1306110000	531	01/01/1997	Attivo	10503829486	2024	115817	protocollo@postecert.it	SI	POSTE ITALIANE SPA !!SPA	VIALE EUROPA 190 00144 ROMA RM	https://www.ufficiocamerale.it/5322/poste-italiane-societa-per-azioni
14	SARAS S.P.A.	00136440922	SI	00136440922	49540	CA	SOCIETA' PER AZIONI		09018	SARROCH	CA	67784444	19201	24/05/1962	Attiva	9614379000	2024	279		NO			https://www.ufficiocamerale.it/4795/saras-spa-o-in-forma-estesa-saras-spa-raffinerie-sarde
15	TELECOM ITALIA S.P.A. (TIM)	00488410010	SI	00488410010	1580695	MI	SOCIETA' PER AZIONI	VIA GAETANO NEGRI 1	20123	MILANO	MI	6109291512	61	04/08/2003	Attiva	9218214372	2024	40229		SI	TIM S.P.A.	VIA GAETANO NEGRI 1 20123 MILANO MI	https://www.ufficiocamerale.it/1045/telecom-italia-spa-o-tim-spa
16	ESSELUNGA S.P.A.	04916380159	SI	01255720169	1063068	MI	SOCIETA' PER AZIONI	VIA VITTOR PISANI 20	20124	MILANO	MI	100000000	471102	31/12/1980	Attiva	9112444447	2024	26736		SI	ESSELUNGA SPA	VIA VITTOR PISANI 20 20124 MILANO MI	https://www.ufficiocamerale.it/5595/esselunga-spa
17	A2A S.P.A.	11957540153	SI	11957540153	493995	BS	SOCIETA' PER AZIONI	VIA ALESSANDRO LAMARMORA 230	25124	BRESCIA	BS	1629110744.04	3515	22/10/1996	Attivo	8700014382	2024	1975		SI	A2A S.P.A.	VIA LAMARMORA 230 25124 BRESCIA BS	https://www.ufficiocamerale.it/9634/a2a-spa
18	E-DISTRIBUZIONE S.P.A.	05779711000	SI	05779711000	922436	RM	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA DOMENICO CIMAROSA 4	00198	ROMA	RM	2600000000	3514	01/10/1999	Attiva	7990967769	2024	16059		NO			https://www.ufficiocamerale.it/5037/e-distribuzione-spa
19	VOLKSWAGEN GROUP ITALIA S.P.A.	01779120235	SI	07649360158	195899	VR	SOCIETA' PER AZIONI	Viale Gerard Richard Gumpert 1	37137	Verona	VR	46480500	46711	20/11/1985	Attiva	7699713081	2024	862		SI	VOLKSWAGEN GROUP ITALIA SOCIETA' PER AZIONI (OPPURE - IN FOR	VIALE GERARD RICHARD GUMPERT 1 37137 VERONA VR	https://www.ufficiocamerale.it/5984/volkswagen-group-italia-societa-per-azioni-oppure-in-forma-abbreviata-volkswagen-group-italia-spa
20	ENGIE ITALIA S.P.A.	06289781004	SI	06289781004	1817090	MI	SOCIETA' PER AZIONI	VIA CHIESE 72	20126	MILANO	MI	47460583	71121	26/09/2000	Attivo	7500614436	2024	676		SI	ENGIE ITALIA SPA	VIA CHIESE 72 20126 MILANO MI	https://www.ufficiocamerale.it/2110/engie-italia-spa
21	LIDL ITALIA S.R.L.	02275030233	SI	02275030233	228845	VR	SOCIETÀ A RESPONSABILITÀ LIMITATA	VIA AUGUSTO RUFFO 36	37040	ARCOLE	VR	40000000	469	20/07/1991	Attiva	7438283125	2024	22565		SI	LIDL ITALIA S.R.L. !!S.R.L.	VIA AUGUSTO RUFFO 36 37040 ARCOLE VR	https://www.ufficiocamerale.it/9547/lidl-italia-srl
22	ITALIANA PETROLI S.P.A.	00051570893	SI	00051570893	740950	RM	SOCIETA' PER AZIONI	VIA SALARIA 1322	00138	ROMA	RM	47665314	19201	22/01/2015	Attiva	7367922100	2024	627		SI	ITALIANA PETROLI S.P.A.	VIA SALARIA 1322 00138 ROMA RM	https://www.ufficiocamerale.it/3907/italiana-petroli-spa
23	IVECO S.P.A.	09709770011	SI	09709770011	1074767	TO	SOCIETA' PER AZIONI	VIA PUGLIA 35	10156	TORINO	TO	200000000	291	01/12/2010		7065384954	2024	6733		SI	IVECO SPA	VIA PUGLIA 35, 10156 TORINO TO	https://www.ufficiocamerale.it/3261/iveco-spa
24	ENI PLENITUDE S.P.A. SOCIETA' BENEFIT	12300020158	SI	12300020158	1544762	MI	SOCIETA' PER AZIONI	VIA GIOVANNI LORENZINI 4	20139	MILANO	MI	855555556	3523	01/03/2017	Attiva	7064842193	2024	1885		SI	ENI PLENITUDE SPA SOCIETA' BENEFIT	VIA GIOVANNI LORENZINI 4 20139 MILANO MI	https://www.ufficiocamerale.it/6175/eni-gas-e-luce-spa
25	ISAB S.R.L.	01629050897	SI	01629050897	136409	SR	SOCIETA' A RESPONSABILITA' LIMITATA	EX S.S. 114 KM 146	96010	PRIOLO GARGALLO	SR	50000000	19201	01/12/2008	Attiva	6856500951	2024	1022		SI	ISAB S.R.L. !!S.R.L.	EX S S 114 KM 146, 96010 PRIOLO GARGALLO SR	https://www.ufficiocamerale.it/7857/isab-srl
26	HERA TRADING S.R.L.	02060500390	SI	02060500390	133985	TS	SR (Società a responsabilità limitata)	VIA DEL TEATRO 5	34121	TRIESTE	TS	22600000	3523	01/07/2004	Attiva	6720344223	2024	47		NO			https://www.ufficiocamerale.it/3019/hera-trading-srl
27	OMV SUPPLY & TRADING ITALIA S.R.L.	01319940324	SI	01319940324	204004	TS	SOCIETA' A RESPONSABILITA' LIMITATA	VIA CESARE BECCARIA 13	34133	TRIESTE	TS	22010000	4681	27/12/2018	Attiva	6667869572	2024	5		SI	OMV SUPPLY & TRADING ITALIA SRL	VIA CESARE BECCARIA 13 34133 TRIESTE TS	https://www.ufficiocamerale.it/2997/omv-supply-trading-italia-srl
28	BASELL SALES & MARKETING COMPANY B.V.	10886640969	SI	97847500150	2561988	MI	SOCIETA' COSTITUITA IN BASE A LEGGI DI ALTRO STATO	DELFTSEPLEIN 27			EE	50000	4612		Attiva	6621828000	2024	44		SI	BASELL SALES & MARKETING COMPANY BV ITALIAN BRANCH	VIA PONTACCIO 10, 20121 MILANO MI	https://www.ufficiocamerale.it/4040/basell-sales-marketing-company-bv
29	EDISON ENERGIA S.P.A.	08526440154	SI	08526440154	1229342	MI	SP (Società per Azioni)	FORO BUONAPARTE 31	20121	MILANO	MI	40000000	3515	28/11/1990	Attiva	6389410221	2024	488		SI	EDISON ENERGIA S.P.A.	FORO BUONAPARTE 31 20121 MILANO MI	https://www.ufficiocamerale.it/7410/edison-energia-spa
30	FERRARI S.P.A.	00159560366	SI	00159560366	88683	MO	SOCIETA' PER AZIONI	VIA EMILIA EST 1163	41122	MODENA	MO	20260000	291	23/05/1960	Attiva	6284626802	2024	4934		SI	FERRARI S.P.A.	VIA EMILIA EST 1163 41122 MODENA MO	https://www.ufficiocamerale.it/4717/ferrari-societaper-azioni-esercizio-fabbriche-automobili-e-corse-o-semplicemente-ferrari-spa
31	ENEL PRODUZIONE S.P.A.	05617841001	SI	05617841001	904803	RM	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	1800000000	3512	10/10/1999	Attiva	6279569647	2024	1491		NO			https://www.ufficiocamerale.it/2588/enel-produzione-spa
32	CHIMET S.P.A.	00155440514	SI	00155440514	61012	AR	SOCIETA' PER AZIONI	VIA DEI LAGHI 31/33	52041	CIVITELLA IN VAL DI CHIANA	AR	50000000	244	10/05/1976	Attiva	6056830238	2024	147		SI	CHIMET S.P.A.	VIA DEI LAGHI 31/33 52041 CIVITELLA IN VAL DI CHIANA AR	https://www.ufficiocamerale.it/4671/chimet-spa
33	TRENITALIA S.P.A.	05403151003	SI	05403151003	883047	RM	SOCIETA' PER AZIONI CON SOCIO UNICO	PIAZZA DELLA CROCE ROSSA 1	00161	ROMA	RM	1685925000	491	02/05/2000	Attiva	5883736789	2024	24588		SI	TRENITALIA S.P.A.	PIAZZA DELLA CROCE ROSSA 1 00161 ROMA RM	https://www.ufficiocamerale.it/5551/trenitalia-spa
34	A2A ENERGIA S.P.A.	12883420155	SI	12883420155	1592687	MI	SOCIETA' PER AZIONI	PIAZZA TRENTO 7	20135	MILANO	MI	3000000	3515	08/11/1999	Attiva	5879432684	2024	766		SI	A2A ENERGIA S.P.A.	PIAZZA TRENTO 7 20135 MILANO MI	https://www.ufficiocamerale.it/3460/a2a-energia-spa
35	SAIPEM S.P.A.	00825790157	SI	00825790157	788744	MI	SOCIETA' PER AZIONI	VIA LUIGI RUSSOLO 5	20138	MILANO	MI	1001669790.83	091	05/06/1996	Attiva	5871918220	2024	5970		SI	SAIPEM S.P.A.	VIA LUIGI RUSSOLO 5 20138 MILANO MI	https://www.ufficiocamerale.it/1249/saipem-spa
36	SONATRACH RAFFINERIA ITALIANA S.R.L.	10410680960	SI	10410680960	2529184	MI	SOCIETÀ A RESPONSABILITÀ LIMITATA	VIA ALESSANDRO MANZONI 38	20121	MILANO	MI	500000000	192	04/07/2018		5852126463	2024	766		SI	SONATRACH RAFFINERIA ITALIANA S.R.L.	VIA ALESSANDRO MANZONI 38 20121 MILANO MI	https://www.ufficiocamerale.it/2709/sonatrach-raffineria-italiana-srl
37	HERA COMM S.P.A.	02221101203	SI	02221101203	421914	BO	SOCIETA' PER AZIONI	VIA MOLINO ROSSO 8	40026	IMOLA	BO	53595898.95	3523	01/01/2002	Attiva	5845733766	2024	651		NO			https://www.ufficiocamerale.it/2222/hera-comm-spa
38	AUTOSTRADE PER L'ITALIA S.P.A.	07516911000	SI	07516911000	1037417	RM	SOCIETA' PER AZIONI	VIA ALBERTO BERGAMINI 50	00159	ROMA	RM	622027000	52212	31/07/2003	Attiva	5453641160	2024	5336		SI	AUTOSTRADE PER L'ITALIA S.P.A.	VIA ALBERTO BERGAMINI 50 00159 ROMA RM	https://www.ufficiocamerale.it/6693/autostrade-per-litalia-spa
39	ACCIAIERIE D'ITALIA S.P.A.	10354890963	SI	10354890963	2525101	MI	SOCIETA' PER AZIONI	VIALE CERTOSA 239	20151	MILANO	MI	401400000	241	01/11/2018	Attiva	5426929109	2024	10133		SI	ACCIAIERIE D'ITALIA SPA IN AMMINISTRAZIONE STRAORDINARIA	VIALE CERTOSA 239 20151 MILANO MI	https://www.ufficiocamerale.it/7121/arcelormittal-italia-spa
40	NUOVO PIGNONE INTERNATIONAL S.R.L.	04880930484	SI	04880930484	496890	FI	SOCIETA' A RESPONSABILITA' LIMITATA	VIA FELICE MATTEUCCI 2	50127	FIRENZE	FI	112004940.84	28292	01/07/1998	Attiva	5383064125	2024	2034		NO			https://www.ufficiocamerale.it/7209/nuovo-pignone-international-srl
41	WEBUILD S.P.A.	02895590962	SI	00830660155	525502	MI	SOCIETA' PER AZIONI	VIA CENTRO DIREZIONALE MILANOFIORI	20089	ROZZANO	MI	600000000	4212	24/01/1959	Attiva	5123434422	2024	1315		SI	WEBUILD SPA	MILANOFIORI SNC-STRADA 6 PALAZZO L, 20089 ROZZANO MI	https://www.ufficiocamerale.it/8851/webuild-spa
42	VODAFONE ITALIA S.P.A.	08539010010	SI	93026890017	974956	TO	SOCIETA' PER AZIONI	VIA GUGLIELMO JERVIS 13	10015	IVREA	TO	2305099887.3	61	26/11/2002	Cessata	4753972347	2024	4942	vodafone@pec.vodafone.it	NO			https://www.ufficiocamerale.it/3305/vodafone-italia-spa
43	COSTA CROCIERE S.P.A.	02545900108	SI	02545900108	279842	GE	SOCIETÀ PER AZIONI	PIAZZA PICCAPIETRA 48	16121	GENOVA	GE	344310720	501	21/10/2004	Attiva	4699298493	2024	2965		SI	COSTA CROCIERE S.P.A.	PIAZZA PICCAPIETRA 48 16121 GENOVA GE	https://www.ufficiocamerale.it/1865/costa-crociere-spa
44	AXPO ITALIA S.P.A.	01141160992	SI	01141160992	987225	RM	SOCIETA' PER AZIONI	VIA QUATTRO NOVEMBRE 149	00187	ROMA	RM	3000000	3515	01/10/2000	Attiva	4500695776	2024	253		SI	AXPO ITALIA S.P.A.	VIA QUATTRO NOVEMBRE 149 00187 ROMA RM	https://www.ufficiocamerale.it/1656/axpo-italia-spa
45	TECNIMONT S.P.A.	01628410159	SI	01628410159	574643	MI	SOCIETA' PER AZIONI	VIA GAETANO DE CASTILLIA 6/A	20124	MILANO	MI	1000000	71121	23/11/1960	Attivo	4474265130	2024	1874		SI	TECNIMONT SPA	VIA GAETANO DE CASTILLIA 6/A 20124 MILANO MI	https://www.ufficiocamerale.it/6800/tecnimont-spa
46	PIRELLI TYRE S.P.A.	07211330159	SI	07211330159	1147607	MI	SOCIETA' PER AZIONI	VIALE PIERO E ALBERTO PIRELLI 25	20126	MILANO	MI	558154000	22111	01/03/1984		4378938646	2024	1307		SI	PIRELLI TYRE SPA	VIALE PIERO E ALBERTO PIRELLI N 25 20126 MILANO MI	https://www.ufficiocamerale.it/3346/pirelli-tyre-spa
47	A.I.A. - AGRICOLA ITALIANA ALIMENTARE S.P.A.	00233470236	SI	00233470236	110039	VR	SP (Società per Azioni)	Piazzale Apollinare Veronesi 1	37036	San Martino Buon Albergo	VR	5000000	463211	22/05/1967	Attiva	4377589010	2024	706		SI	A.I.A. AGRICOLA ITALIANA ALIMENTARE S.P.A.	PIAZZALE APOLLINARE VERONESI 1 37036 SAN MARTINO BUON ALBERGO VR	https://www.ufficiocamerale.it/8454/aia-agricola-italiana-alimentare-spa
48	LUXOTTICA GROUP S.P.A.	10182640150	SI	00891030272	1348098	MI	Società per Azioni	Piazzale Luigi Cadorna 3	20123	Milano	MI	29111701.98	46431	23/11/1981	Attivo	4357524998	2024	3638		SI	LUXOTTICA GROUP SPA	PIAZZALE CADORNA N 3 20123 MILANO MI	https://www.ufficiocamerale.it/6472/luxottica-group-spa
49	GROUPE PSA ITALIA S.P.A.	00882090152	SI	00882090152	1297722	TO	SOCIETA' PER AZIONI	VIA PLAVA 80	10135	TORINO	TO	4480000	46711	12/03/1969	Attivo	4344716308	2024	197		SI	GROUPE PSA ITALIA S.P.A.	VIA PLAVA 80 10135 TORINO TO	https://www.ufficiocamerale.it/7713/groupe-psa-italia-spa
50	LOGISTA ITALIA S.P.A.	06741351008	SI	06741351008	986948	RM	SOCIETA' PER AZIONI	VIA VALADIER 37	00193	ROMA	RM	15164000	463509	01/10/2001	Attiva	4273665836	2024	482	logista.italia@pec.it	SI	LOGISTA ITALIA S.P.A.	VIA VALADIER 37 00193 ROMA RM	https://www.ufficiocamerale.it/2354/logista-italia-spa
51	PAC 2000 A SOCIETA' COOPERATIVA	00163040546	SI	00163040546	98419	PG	SOCIETA' COOPERATIVA	VIA DEL RAME	06134	PERUGIA	PG	55540921	4638	16/08/1972	Attivo	4209971700	2024	778		SI	PAC 2000 A SOCIETA' COOPERATIVA	VIA DEL RAME SNC 06134 PERUGIA PG	https://www.ufficiocamerale.it/4217/pac-2000-a-societa-cooperativa
52	ANAS - SOCIETA' PER AZIONI	02133681003	SI	80208450587	1024951	RM	SOCIETA' PER AZIONI	VIA MONZAMBANO 10	00185	ROMA	RM	2269892000	52212	13/01/2003	Attiva	4182372483	2024	7568	anas@pec.it	SI	ANAS S.P.A.	VIA MONZAMBANO 10 00185 ROMA RM	https://www.ufficiocamerale.it/7390/anas-societa-per-azioni
53	NUOVO PIGNONE S.R.L.	06176750484	SI	06176750484	606899	FI	SOCIETÀ A RESPONSABILITÀ LIMITATA	VIA FELICE MATTEUCCI 2	50127	FIRENZE	FI	100000000	28292	31/12/2011	Attiva	4128226792	2024	2228		NO			https://www.ufficiocamerale.it/2196/nuovo-pignone-srl
54	RENAULT ITALIA S.P.A.	05811161008	SI	00291240638	273440	RM	SOCIETÀ PER AZIONI	VIA TIBURTINA 1159	00156	ROMA	RM	2582500	47811	01/03/1962	Attiva	4054135740	2024	213		SI	RENAULT ITALIA SPA	VIA TIBURTINA 1159 00156 ROMA RM	https://www.ufficiocamerale.it/3243/renault-italia-spa
55	WIND TRE S.P.A.	13378520152	SI	02517580920	1638878	MI	SOCIETA' PER AZIONI	VIA MONTE ROSA 91	20149	MILANO	MI	474303795	611	10/01/2001	Attivo	3988000000	2024	6247	windtre@pec.windtre.it	SI	WIND TRE S.P.A.	VIA MONTE ROSA 91 20149 MILANO MI	https://www.ufficiocamerale.it/6360/wind-tre-spa
56	ITALPREZIOSI S.P.A.	01111420517	SI	01111420517	83621	AR	SOCIETA' PER AZIONI	LOCALITA' SAN ZENO ZONA INDUSTRIALE STRADA A 32	52100	AREZZO	AR	25000000	2441	09/06/1984	Attiva	3942513492	2024	91		SI	ITALPREZIOSI SPA	LOC SAN ZENO STRADA A 32 52100 AREZZO AR	https://www.ufficiocamerale.it/1959/italpreziosi-spa
57	COOP ALLEANZA 3.0 SOCIETA' COOPERATIVA	03503411203	SI	03503411203	524364	BO	SOCIETA' COOPERATIVA	VIA VILLANOVA 29/7	40055	CASTENASO	BO		471102	01/01/2016	Attiva	3928119119	2024	16225		SI	COOP ALLEANZA 3.0 SOCIETA' COOPERATIVA	VIA VILLANOVA 29/7 40055 CASTENASO BO	https://www.ufficiocamerale.it/2522/coop-alleanza-30-societa-cooperativa
58	Q8 QUASER S.R.L.	06543251000	SI	00295420632	973923	RM	Società a Responsabilità Limitata	Viale dell'Oceano Indiano 13	00144	Roma	RM	18500000	4681	31/03/2001	Attiva	3870861011	2024	84		SI	Q8 QUASER SRL	VIALE DELL'OCEANO INDIANO 13 00144 ROMA RM	https://www.ufficiocamerale.it/1087/q8-quaser-srl-con-unico-socio
59	ENIMOOV S.P.A.	02701740108	SI	02701740108	904784	RM	SP (Società per Azioni)	Viale Giorgio Ribotta 51	00144	Roma	RM	59944310	4681	09/07/1999	Attiva	3860571505	2024	159		SI	ENIMOOV S.P.A.	VIA GIORGIO RIBOTTA 51 00144 ROMA RM	https://www.ufficiocamerale.it/5426/eni-fuel-spa
60	FINCANTIERI S.P.A.	00629440322	SI	00397130584	89063	TS	SOCIETA' PER AZIONI	VIA GENOVA 1	34121	TRIESTE	TS	883722972.7	301	01/01/1984	Attiva	3792580246	2024	9119		SI	FINCANTIERI SPA	VIA GENOVA 1 34121 TRIESTE TS	https://www.ufficiocamerale.it/6094/fincantieri-spa
61	BMW ITALIA S.P.A.	12532500159	SI	01934110154	1403223	MI	AU	VIA DELL'UNIONE EUROPEA 1	20097	SAN DONATO MILANESE	MI	5300000	47811	03/07/1973	AU	3649413964	2024	260		SI	BMW ITALIA S.P.A.	VIA DELLA UNIONE EUROPEA 1 20097 SAN DONATO MILANESE MI	https://www.ufficiocamerale.it/9698/bmw-italia-spa
62	GS S.P.A.	12683790153	SI	00295960637	1396833	MI	SOCIETA' PER AZIONI	VIA BISCEGLIE 66	20152	MILANO	MI	50000000	471102	02/11/1998	Attiva	3633719298	2024	10992		NO			https://www.ufficiocamerale.it/6985/gs-spa
63	MD S.P.A.	03185210618	SI	03185210618	224859	CE	SP (Società per Azioni)	ZONA INDUSTRIALE A.S.I. CAPANNONE N.18	81030	GRICIGNANO DI AVERSA	CE	150000000	471102	11/08/2006	Attiva	3605825597	2024	8012		SI	MD S.P.A.	ZONA INDUSTRIALE A S I CAPANNONE N 81030 GRICIGNANO DI AVERSA CE	https://www.ufficiocamerale.it/9952/md-spa
64	DUFERCO ENERGIA S.P.A.	01016870329	SI	03544070174	448318	GE	SOCIETÀ PER AZIONI	VIA PAOLO IMPERIALE 4	16126	GENOVA	GE	30000000	3515	01/03/2000	Attiva	3471060117	2024	373		SI	DUFERCO ENERGIA S.P.A.	VIA IMPERIALE PAOLO 4 16126 GENOVA GE	https://www.ufficiocamerale.it/5072/duferco-energia-spa
65	GUCCIO GUCCI S.P.A.	04294710480	SI	03031300159	438090	FI	SP (Società per Azioni)	VIA DEI TORNABUONI 73/R	50123	FIRENZE	FI	50000000	1512	29/03/1991	Attiva	3378341432	2024	1727		SI	GUCCIO GUCCI S.P.A.	VIA TORNABUONI 73R 50123 FIRENZE FI	https://www.ufficiocamerale.it/6510/guccio-gucci-spa
66	LUDOIL ENERGIA S.R.L.	07047491217	SI	07047491217	1743714	RM	SOCIETA' A RESPONSABILITA' LIMITATA	VIA AURELIA NORD 8	00053	CIVITAVECCHIA	RM	20000000	4681	20/12/2011	Active	3362769050	2024	47	ludoilenergia@pec.it	SI	LUDOIL ENERGIA SRL	VIA AURELIA NORD 8 00053 CIVITAVECCHIA RM	https://www.ufficiocamerale.it/1992/ludoil-energia-srl
67	SPESA INTELLIGENTE S.P.A.	02416840235	SI	02416840235	238008	VR	SOCIETA' PER AZIONI	VIA CAMPALTO 3/D	37036	SAN MARTINO BUON ALBERGO	VR	5000000	4711	21/06/1993	Attivo	3328795303	2024	7449		SI	SPESA INTELLIGENTE SPA !!SPA	VIA CAMPALTO 3/D 37036 SAN MARTINO BUON ALBERGO VR	https://www.ufficiocamerale.it/4058/spesa-intelligente-spa
68	TAMOIL ITALIA S.P.A.	00698550159	SI	00698550159	425890	MI	SOCIETA' PER AZIONI	VIA ANDREA COSTA 17	20131	MILANO	MI	165000000	4681			3302143119	2024	245		SI	TAMOIL ITALIA S.P.A.	VIA ANDREA COSTA 17 20131 MILANO MI	https://www.ufficiocamerale.it/2720/tamoil-italia-spa
69	MARCEGAGLIA CARBON STEEL S.P.A.	02466220205	SI	02466220205	255216	MN	SOCIETA' PER AZIONI	VIA DE' BRESCIANI 16	46040	GAZOLDO DEGLI IPPOLITI	MN	396218598	24202	01/11/2015	Attiva	3302069127	2024	1762		SI	MARCEGAGLIA CARBON STEEL SPA	VIA BRESCIANI 16 46040 GAZOLDO DEGLI IPPOLITI MN	https://www.ufficiocamerale.it/5787/marcegaglia-carbon-steel-spa
70	IREN MERCATO S.P.A.	01178580997	SI	01178580997	390320	GE	SP (Società Per Azioni)	PIAZZETTA GIAMBATTISTA RAGGI 6	16137	GENOVA	GE	61356220	3515 - Commercio di energia elettrica	01/03/2001	Attiva	3263757697	2024	615		NO			https://www.ufficiocamerale.it/4060/iren-mercato-spa
71	MERCEDES-BENZ ITALIA S.P.A.	06325761002	SI	06325761002	960386	RM	SP (Società per Azioni)	VIA GIULIO VINCENZO BONA 110	00156	ROMA	RM	38002000	46711	19/01/2001		3230389167	2024	402		SI	MERCEDES-BENZ ITALIA S.P.A.	VIA GIULIO VINCENZO BONA 110 00156 ROMA RM	https://www.ufficiocamerale.it/4530/mercedes-benz-italia-spa
